债券募集说明书名称,公告发布日,半透明小字
18国际P2：深圳国际控股有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-11-08,  深圳国际控股有限公司 住所：Clarendon House 2 Church Street Hamilton HM 11 Bermuda 2018年面向合格投资者公开发行 公司债券（第二期）募集说
星期六：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-21,星期六股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证 券法》、《公司债券发行与交易管理办
18恒集01：浙江恒逸集团有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-09-03,浙江恒逸集团有限公司公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式 准则第
美年健康：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-14,美年大健康产业控股股份有限公司 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理
盾安环境：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-16,浙江盾安人工环境股份有限公司 （住所：浙江省诸暨市店口工业区） 2018年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商、簿记管理人、债券受托管理人 招商证券股份有限公司 （住所：广
恒逸石化：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-16,恒逸石化股份有限公司公开发行公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式
朗姿股份：2018年公开发行公司债券（第一期）募集说明书（面向合格投资者）,2018-03-13,朗姿股份有限公司 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公司债券 发行与交易管理办法》、《公开
18通裕02：通裕重工股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-10-29,通裕重工股份有限公司 2018 年面向合格投资者公开发行公司债券（第二期）募集说明书 1 股票简称：通裕重工 股票代码：300185 通裕重工股份有限公司 2018 年面向合格投资者公开发行公司债券 
华侨城Ａ：2018年面向合格投资者公开发行公司债券（第三期）募集说明书,2018-03-08,股票简称：华侨城 A 股票代码：000069 深圳华侨城股份有限公司 （住所：深圳市南山区华侨城指挥部大楼 103、105、107、111、112 室） 2018 年面向合格投资者公开发行公司债券 （
18万科02：万科企业股份有限公司2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书调整公告,2018-10-25,万科企业股份有限公司 2018年面向合格投资者公开发行 住房租赁专项公司债券（第二期）募集说明书调整公告 本公司及董事会全体成员保证公告内容真实、准确和完整，没有虚假记载、误导性 陈述或者重大遗漏。 
万  科Ａ：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书调整公告,2018-10-25,万科企业股份有限公司 2018年面向合格投资者公开发行 住房租赁专项公司债券（第二期）募集说明书调整公告 本公司及董事会全体成员保证公告内容真实、准确和完整，没有虚假记载、误导性 陈述或者重大遗漏。 
万  科Ａ：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书（调整后）,2018-10-25,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广
18万科02：万科企业股份有限公司2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书（调整后）,2018-10-25,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广
万  科Ａ：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书,2018-10-23,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广
18万科02：2018年面向合格投资者公开发行住房租赁专项公司债券（第二期）募集说明书,2018-10-23,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33 号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第二期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广
18广发02：广发证券股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-08-20,广发证券股份有限公司 （住所：广东省广州市黄埔区中新广州知识城腾飞一街 2 号 618 室） 2018 年面向合格投资者公开发行公司债券 （第二期）募集说明书 主承销商/簿记管理人/债券受托管理人 （
奥飞娱乐：2018年公开发行公司债券（第一期）募集说明书（面向合格投资者）,2018-02-08,奥飞娱乐股份有限公司 （住所：广东省汕头市澄海区文冠路中段奥迪工业园） 2018年公开发行公司债券（第一期） 募集说明书 （面向合格投资者） 主承销商、簿记管理人、债券受托管理人 （住所：广东省广州市
18渤金03：渤海金控投资股份有限公司2018年面向合格投资者公开发行公司债券（第三期）募集说明书,2018-09-28,渤海金控投资股份有限公司 公开发行公司债券募集说明书 股票简称：渤海金控 股票代码： 000415 渤海金控投资股份有限公司 （新疆乌鲁木齐市沙依巴克区黄河路 93 号） 2018 年公开发行公司债券
广发证券：2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-08-20,广发证券股份有限公司 （住所：广东省广州市黄埔区中新广州知识城腾飞一街 2 号 618 室） 2018 年面向合格投资者公开发行公司债券 （第二期）募集说明书 主承销商/簿记管理人/债券受托管理人 （
棕榈股份：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-02-01,股票简称：棕榈股份 股票代码： 002431 棕榈生态城镇发展股份有限公司 （住所：中山市小榄镇绩西祥丰中路 21 号） 2018 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商/
金科股份：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-02-06,金科地产集团股份有限公司 2018年面向合格投资者公开发行公司债券（第一期） 募集说明书 发行人：金科地产集团股份有限公司 住所：重庆市江北区复盛镇正街（政府大楼） 牵头主承销商、债券受托管理人、簿记
华侨城Ａ：2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-02-01,股票简称：华侨城 A 股票代码：000069 深圳华侨城股份有限公司 （住所：深圳市南山区华侨城指挥部大楼 103、105、107、111、112 室） 2018 年面向合格投资者公开发行公司债券 （
天齐锂业：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-01-30,1 股票简称：天齐锂业 股票代码：002466 发行人：天齐锂业股份有限公司 （住所：四川省射洪县太和镇城北） 2018年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住所：成都
华联股份：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-01-23,1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、《公 司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式准则第 23号——公开发行公司债券募集说明书（2
电广传媒：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-01-25,"股票简称：电广传媒 股票代码：000917 湖南电广传媒股份有限公司 Hunan TV & Broadcast Intermediary Co.,Ltd. （注册地址：湖南省长沙市浏阳河大桥东湖南金鹰"
18渤金02：渤海金控投资股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-09-06,渤海金控投资股份有限公司 公开发行公司债券募集说明书 股票简称：渤海金控 股票代码：000415 渤海金控投资股份有限公司 （新疆乌鲁木齐市沙依巴克区黄河路 93 号） 2018 年公开发行公司债券(
华侨城Ａ：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-01-15,股票简称：华侨城 A 股票代码：000069 深圳华侨城股份有限公司 （住所：深圳市南山区华侨城指挥部大楼 103、105、107、111、112 室） 2018 年面向合格投资者公开发行公司债券 （
第一创业：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-01-12,"第一创业证券股份有限公司 First Capital Securities Co., Ltd. (广东省深圳市福田区福华一路 115 号投行大厦 20 楼) 2018 年面向合格投资者公开发行公司债券"
18青信Y2：青岛国信发展（集团）有限责任公司2018年面向合格投资者公开发行可续期公司债券（第二期）募集说明书,2018-08-31,青岛国信发展（集团）有限责任公司 公开发行可续期公司债券 青岛国信发展（集团）有限责任公司 （住所：青岛市市南区东海西路15号） 2018年面向合格投资者公开发行 可续期公司债券（第二期） 募集说明书
18物美02：物美控股集团有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-08-27,物美控股集团有限公司 2018 年面向合格投资者公开发行公司债券（第二期）募集说明书 1-1-1 物美控股集团有限公司 2018 年面向合格投资者公开发行公司债券（第二期） 募集说明书 发行人 物美控
18物美03：物美控股集团有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-08-27,物美控股集团有限公司 2018 年面向合格投资者公开发行公司债券（第二期）募集说明书 1-1-1 物美控股集团有限公司 2018 年面向合格投资者公开发行公司债券（第二期） 募集说明书 发行人 物美控
18亚迪02：比亚迪股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-08-20,8 20 比亚迪股份有限公司 公开发行公司债券募集说明书 1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内
英唐智控：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-12-29,股票简称：英唐智控 股票代码：300131 公告编号：2017-110 股票简称：18 英唐 01 债券代码：112631 深圳市英唐智能控制股份有限公司 （住所：深圳市南山区高新技术产业园科技南五路
18亚迪03：比亚迪股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-08-20,8 20 比亚迪股份有限公司 公开发行公司债券募集说明书 1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内
中南建设：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-12-25,股票简称：中南建设 股票代码：000961 江苏中南建设集团股份有限公司 住所：江苏省海门市常乐镇 2017 年面向合格投资者 公开发行公司债券（第二期） 募集说明书 牵头主承销商/簿记管理人/债券受
18英唐03：深圳市英唐智能控制股份有限公司2018年面向合格投资者公开发行公司债券（第三期）募集说明书,2018-08-15,股票简称：英唐智控 股票代码：300131 公告编号：2018-091 股票简称：18英唐 03 债券代码：112745 深圳市英唐智能控制股份有限公司 （住所：深圳市南山区高新技术产业园科技南五路英
18英唐03：深圳市英唐智能控制股份有限公司2018年面向合格投资者公开发行公司债券（第三期）募集说明书,2018-08-13,股票简称：英唐智控 股票代码：300131 公告编号：2018-086 股票简称：18英唐 03 债券代码：112745 深圳市英唐智能控制股份有限公司 （住所：深圳市南山区高新技术产业园科技南五路英
万  科Ａ：2018年面向合格投资者公开发行住房租赁专项公司债券（第一期）募集说明书,2018-08-03,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第一期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广场
18万科01：万科企业股份有限公司2018年面向合格投资者公开发行住房租赁专项公司债券（第一期）募集说明书,2018-08-03,万科企业股份有限公司 深圳市盐田区大梅沙环梅路 33号万科中心 2018 年面向合格投资者公开发行 住房租赁专项公司债券（第一期） 募集说明书 主承销商 广东省深圳市福田区中心三路 8 号卓越时代广场
中南建设：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-12-11,股票简称：中南建设 股票代码：000961 江苏中南建设集团股份有限公司 住所：江苏省海门市常乐镇 2017 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 牵头主承销商/簿记管理人/债券受
17传化01：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-30,"传化智联股份有限公司 TransfarZhilianCo.,Ltd. （地址：浙江省杭州市萧山经济技术开发区） 2017年面向合格投资者公开发行公司债券 募集说明书（第一期） 牵头主承销商/债券受托管"
信邦制药：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-30,贵州信邦制药股份有限公司2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 1 发行人声明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国 证券法》、《公司债券发行与交
传化智联：2017年面向合格投资者公开发行公司债券（第一期）募集说明书（摘要）,2017-11-30,"传化智联股份有限公司 公开发行公司债券募集说明书摘要 1 传化智联股份有限公司 TransfarZhilianCo.,Ltd. （地址：浙江省杭州市萧山经济技术开发区） 2017年面向合格投资者公开发"
千方科技：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-24,北京千方科技股份有限公司 （住所：北京市海淀区东北旺西路 8 号中关村软件园一期 27 号 楼 B 座 501 室） 2017 年面向合格投资者 公开发行公司债券（第一期） 募集说明书 （发行稿） 主
英唐智控：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-24,公告编号：2017-098 深圳市英唐智能控制股份有限公司 （住所：深圳市南山区高新技术产业园科技南五路英唐大厦五楼） 2017年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商 （住
四维图新：2017年公开发行公司债券（第一期）募集说明书,2017-11-21,股票简称：四维图新 股票代码：002405 北京四维图新科技股份有限公司 （住所：北京市海淀区学院路7号弘彧大厦10层1002A室） 2017 年公开发行公司债券 （第一期）募集说明书 （面向合格投资
香雪制药：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-11-21,股票简称：香雪制药 股票代码：300147 广州市香雪制药股份有限公司 （广州经济技术开发区科学城金峰园路2号） 2017年面向合格投资者 公开发行公司债券（第二期） 募集说明书 主承销商/债券受托管
18新泰04：新疆中泰（集团）有限责任公司2018年面向合格投资者公开发行公司债券（第三期）募集说明书,2018-07-09,新疆中泰（集团）有限责任公司 （住所：新疆乌鲁木齐经济技术开发区维泰南路1号1503室） 2018 年面向合格投资者公开发行 公司债券（第三期） 募集说明书 主承销商 （住所：北京市朝阳区安立路 66
深圳能源：2017年面向合格投资者公开发行公司债券（第一期）募集说明书（更新后）,2017-11-17,深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 发行人 （住所：
深圳能源：2017年面向合格投资者公开发行公司债券（第一期）募集说明书（已取消）,2017-11-16,深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券（第一期）募集说明书 深圳能源集团股份有限公司 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 发行人 （住所：
国信证券：2017年面向合格投资者公开发行公司债券（第三期）募集说明书,2017-10-12,国信证券股份有限公司 （住所：深圳市罗湖区红岭中路 1012号国信证券大厦十六层至二十六层） 2017 年面向合格投资者公开发行公司债券 （第三期） 募集说明书 主承销商、簿记管理人、债券受托管理人 
正邦科技：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-11-15,江西正邦科技股份有限公司 （住所：江西省南昌市高新技术开发区艾溪湖一路 569号） 2017 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 牵头主承销商、受托管理人 （住所：深圳市福田区金
香雪制药：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-10-31,股票简称：香雪制药 股票代码：300147 广州市香雪制药股份有限公司 （广州经济技术开发区科学城金峰园路2号） 2017年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商/债券受托管
滨江集团：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-10-27,"股票简称：滨江集团 股票代码：002244 杭州滨江房产集团股份有限公司 Hangzhou Binjiang Real Estate Group Co., Ltd. 浙江省杭州市庆春东路 38 号 2"
光线传媒：公开发行2017年公司债券（第一期）募集说明书,2017-10-24,股票简称：光线传媒 股票代码：300251 北京光线传媒股份有限公司 （住所：北京市东城区和平里东街 11 号 37 号楼 11105 号） 公开发行 2017 年公司债券（第一期） 募集说明书 （面
美尚生态：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-10-20,股票简称：美尚生态 股票代码：300495.SZ 美尚生态景观股份有限公司 （住所：无锡市（太湖）国际科技园大学科技园清源路兴业楼A栋518号） 2017年面向合格投资者公开发行公司债券 （第一期） 
18电科01：关于中国电子科技集团有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书的更正公告,2018-06-06,关于中国电子科技集团有限公司 2018年面向合格投资者公 开发行公司债券（第一期）募集说明书的更正公告 中国电子科技集团有限公司（以下简称“公司”）于 2018年 6月 6日在巨潮 资讯网（http:
瑞康医药：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-10-16,股票简称：瑞康医药 股票代码：002589 瑞康医药股份有限公司 （住所：烟台市芝罘区机场路 326 号） 2017年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商： （住所：四川省
招商蛇口：2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-06-06,招商蛇口 2018年面向合格投资者公开发行公司债券（第二期）募集说明书 声 明 本募集说明书及其摘要的全部内容依据《公司法》、《证券法》、《公司债 券发行与交易管理办法》、《公开发行证券的公司信息披露
巴安水务：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-10-17,股票简称：巴安水务 股票代码：300262 上海巴安水务股份有限公司 （住所：上海市青浦区章练塘路666号） 2017 年面向合格投资者公开发行公司债券（第一期） 募集说明书 主承销商、债券受托管理人
广发证券：2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-23,广发证券股份有限公司 （住所：广东省广州市黄埔区中新广州知识城腾飞一街 2 号 618 室） 2018 年面向合格投资者公开发行公司债券 （第一期）募集说明书 主承销商/簿记管理人/债券受托管理人 （
18广发01：广发证券股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-23,广发证券股份有限公司 （住所：广东省广州市黄埔区中新广州知识城腾飞一街 2 号 618 室） 2018 年面向合格投资者公开发行公司债券 （第一期）募集说明书 主承销商/簿记管理人/债券受托管理人 （
18晨债01：山东晨鸣纸业集团股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-27,山东晨鸣纸业集团股份有限公司 （住所：山东省寿光市圣城街 595号） 2018年面向合格投资者 公开发行公司债券（第一期） 募集说明书 牵头主承销商、簿记管理人、债券受托管理人 住所：广东省广州市黄埔
18英唐02：深圳市英唐智能控制股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-05-22,股票简称：英唐智控 股票代码：300131 公告编号：2018-043 股票简称：18英唐 02 债券代码：112714 深圳市英唐智能控制股份有限公司 （住所：深圳市南山区高新技术产业园科技南五路英
18深能01：深圳能源集团股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-05-21,深圳能源集团股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期）募集说明书 深圳能源集团股份有限公司 2018 年面向合格投资者公开发行公司债券 （第一期） 募集说明书 发行人 （住所：
18华明01：华明电力装备股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-05-09,股票简称：华明装备 股票代码：002270 华明电力装备股份有限公司 住所：山东省济南市天辰大街389号 2018年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商、债券受托管理人、簿
17厦港01：公开发行公司债券（第一期）募集说明书,2017-09-19,厦门国际港务股份有限公司 公开发行公司债券募集说明书 2 声 明 本募集说明书及其摘要的全部内容遵循《中华人民共和国公司法》、《中华人民共和 国证券法》、《公司债券发行与交易管理办法》、《公开发行证券
徐工机械：2017年面向合格投资者公开发行可续期公司债券（第一期）募集说明书,2017-09-20,1 股票简称：徐工机械 股票代码：000425 徐徐工工集集团团工工程程机机械械股股份份有有限限公公司司 XXCCMMGG CCoonnssttrruuccttiioonn MMaacchhiinne
18南方01：南方汇通股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-05-09,南方汇通股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期）募集说明书 发行人声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、
18九州01：九州证券股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-03-31,九州证券股份有限公司 面向合格投资者公开发行公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信
18苏宁02：苏宁易购集团股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-05-04,苏宁易购集团股份有限公司 2018 年面向合格投资者公开发行公司债券（第二期）募集说明书 1-1-1 声明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行
南都电源：2017年面向合格投资者公开发行公司债券（第一期）募集说明书,2017-09-13,浙江南都电源动力股份有限公司 公开发行公司债券募集说明书 1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内
18制药01：广州市香雪制药股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-26,股票简称：香雪制药 股票代码：300147 广州市香雪制药股份有限公司 （广州经济技术开发区科学城金峰园路2号） 2018年面向合格投资者 公开发行公司债券（第一期） 募集说明书 主承销商/债券受托管
18象屿Y1：厦门象屿集团有限公司2018年面向合格投资者公开发行可续期公司债券（第一期）募集说明书,2018-04-23,0 厦门象屿集团有限公司 中国（福建）自由贸易试验区厦门片区象屿路 99 号厦门国际航运中心 E 栋 11 层 01 单元 2018 年面向合格投资者公开发行可续期公司债券 （第一期）募集说明书 主承
西山煤电：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-08-31,山西西山煤电股份有限公司 （住所：山西省太原市西矿街 318 号） 2017 年面向合格投资者公开发行公司债券 （第二期）募集说明书 牵头主承销商 （住所：上海市广东路 689 号） 联席主承销商 （
蒙草生态：2017年面向合格投资者公开发行绿色公司债券（第一期）募集说明书,2017-08-30,股票简称：蒙草生态 股票代码：300355 内蒙古蒙草生态环境（集团） 股份有限公司 （住所：呼和浩特市盛乐经济园区盛乐五街南侧） 2017年面向合格投资者公开发行 绿色公司债券（第一期） 募集说明书
18青信Y1：青岛国信发展（集团）有限责任公司2018年面向合格投资者公开发行可续期公司债券（第一期）募集说明书,2018-04-23,青岛国信发展（集团）有限责任公司 公开发行可续期公司债券 青岛国信发展（集团）有限责任公司 （住所：青岛市市南区东海西路15号） 2018年面向合格投资者公开发行 可续期公司债券（第一期） 募集说明书
欧菲光：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-08-29,深圳欧菲光科技股份有限公司 2017年面向合格投资者公开发行公司债券（第二期）募集说 明书 1 深圳欧菲光科技股份有限公司 （注册地址：深圳市光明新区公明街道松白公路华发路段欧菲光科技园） 2017年
18瑞康01：瑞康医药股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书（已取消）,2018-04-17,股票简称：瑞康医药 股票代码：002589 瑞康医药股份有限公司 （住所：烟台市芝罘区机场路 326号） 2018年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商： （住所：四川省成
18瑞康01：瑞康医药股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书（更新后）,2018-04-18,股票简称：瑞康医药 股票代码：002589 瑞康医药股份有限公司 （住所：烟台市芝罘区机场路 326号） 2018年面向合格投资者公开发行公司债券 （第一期） 募集说明书 主承销商： （住所：四川省成
昆仑万维：2018年面向合格投资者公开发行创新创业公司债券（第二期）募集说明书,2018-04-19,北京昆仑万维科技股份有限公司 （住所：北京市海淀区知春路 118号 B座 605E） 2018 年面向合格投资者公开发行创新创业 公司债券（第二期） 募集说明书 主承销商、债券受托管理人 海通证券股份
欧菲光：2017年面向合格投资者公开发行公司债券（第二期）募集说明书（摘要）,2017-08-29,深圳欧菲光科技股份有限公司 2017年面向合格投资者公开发行公司债券（第二期）募集说明书（摘要） 1 深圳欧菲光科技股份有限公司 （注册地址：深圳市光明新区公明街道松白公路华发路段欧菲光科技园） 20
18圆融01：厦门金圆投资集团有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-18,厦门金圆投资集团有限公司 2018 年面向合格投资者公开发行公司债券（第一期）募集说明书 1 发行人声明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国 证券法》、《公司债券发行与
18苏宁01：苏宁易购集团股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-17,苏宁易购集团股份有限公司 2018 年面向合格投资者公开发行公司债券（第一期）募集说明书 1-1-1 声明 本募集说明书及其摘要依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行
中国宝安：2017年面向合格投资者公开发行公司债券（第二期）募集说明书,2017-08-24,（住所：广东省深圳市笋岗东路宝安广场 A座 28-29层） 中国宝安集团股份有限公司 2017年面向合格投资者 公开发行公司债券 （第二期） 募集说明书 主承销商 （住所：深圳市罗湖区红岭中路 101
18蛇口01：招商局蛇口工业区控股股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-12,招商蛇口 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 声 明 本募集说明书及其摘要的全部内容依据《公司法》、《证券法》、《公司债 券发行与交易管理办法》、《公开发行证券的公司信息披露
18恒逸02：恒逸石化股份有限公司2018年面向合格投资者公开发行公司债券（第二期）募集说明书,2018-04-12,恒逸石化股份有限公司公开发行公司债券募集说明书 1 声 明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内容与格式
18蛇口02：招商局蛇口工业区控股股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-12,招商蛇口 2018年面向合格投资者公开发行公司债券（第一期）募集说明书 声 明 本募集说明书及其摘要的全部内容依据《公司法》、《证券法》、《公司债 券发行与交易管理办法》、《公开发行证券的公司信息披露
昆仑万维：2018年面向合格投资者公开发行创新创业公司债券（第二期）募集说明书,2018-04-11,北京昆仑万维科技股份有限公司 （住所：北京市海淀区知春路 118号 B座 605E） 2018 年面向合格投资者公开发行创新创业 公司债券（第二期） 募集说明书 主承销商、债券受托管理人 海通证券股份
18创投S2：深圳市创新投资集团有限公司2018年面向合格投资者公开发行创新创业公司债券（第二期）募集说明书,2018-04-10,"深圳市创新投资集团有限公司 Shenzhen Capital Group Co.,Ltd. （住所：深圳市福田区深南大道 4009号投资大厦 11层 B区） 2018年面向合格投资者公开发行创新创业 "
18亚迪01：比亚迪股份有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-09,4 10 比亚迪股份有限公司 公开发行公司债券募集说明书 1 声明 本募集说明书依据《中华人民共和国公司法》、《中华人民共和国证券法》、 《公司债券发行与交易管理办法》、《公开发行证券的公司信息披露内
18物美01：物美控股集团有限公司2018年面向合格投资者公开发行公司债券（第一期）募集说明书,2018-04-13,物美控股集团有限公司 2018 年面向合格投资者公开发行公司债券募集说明书 1-1-1 物美控股集团有限公司 2018 年面向合格投资者公开发行公司债券（第一期） 募集说明书 发行人 物美控股集团有限
18厦贸Y1：厦门国贸控股集团有限公司2018年面向合格投资者公开发行可续期公司债券（第一期）募集说明书,2018-04-09,0 厦门国贸控股集团有限公司 厦门市思明区湖滨南路 388 号国贸大厦 38层 A、B、C、D单元 2018 年面向合格投资者公开发行可续期公司债券 （第一期） 募集说明书 牵头主承销商/债券受托管理
